ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	3/157	70/8577	0.13639054723088	0.40917164169264	0.31964418218955	102/2920/6352	3
hsa05143	African trypanosomiasis	2/157	37/8577	0.146645384002205	0.431789186228715	0.337312969049906	7124/3910	2
hsa04150	mTOR signaling pathway	5/157	156/8577	0.157665663834433	0.455797100903179	0.35606791066915	7124/3479/7483/54361/7474	5
hsa04390	Hippo signaling pathway	5/157	157/8577	0.160611315799814	0.456021414503044	0.356243144067257	7483/7040/5054/54361/7474	5
hsa05140	Leishmaniasis	3/157	77/8577	0.166784308169705	0.465240438578651	0.363445029806559	3552/7124/7040	3
hsa05332	Graft-versus-host disease	2/157	42/8577	0.179040575475997	0.489396020954696	0.3823153291801	3552/7124	2
hsa04020	Calcium signaling pathway	7/157	253/8577	0.181599781360548	0.489396020954696	0.3823153291801	2254/80310/5154/8817/4803/56034/7423	7
hsa04940	Type I diabetes mellitus	2/157	43/8577	0.185648770993158	0.491969243131868	0.38432552591566	3552/7124	2
hsa05225	Hepatocellular carcinoma	5/157	168/8577	0.194420533009375	0.506768274565421	0.39588650379821	7483/7040/54361/7474/3481	5
hsa04380	Osteoclast differentiation	4/157	128/8577	0.207132413609048	0.531194415545785	0.414968163087737	3552/7124/1513/7040	4
hsa04926	Relaxin signaling pathway	4/157	129/8577	0.21095428329704	0.532408429273482	0.415916548522151	1287/4313/7040/7423	4
hsa04540	Gap junction	3/157	88/8577	0.217944523086181	0.54145592454223	0.422984436252785	80310/5154/56034	3
hsa05020	Prion disease	7/157	272/8577	0.230870600129283	0.563381037601358	0.440112296835222	713/3552/7124/3915/714/6352/712	7
hsa05152	Tuberculosis	5/157	180/8577	0.233856279759054	0.563381037601358	0.440112296835222	3552/7124/1520/7040/1509	5
hsa05322	Systemic lupus erythematosus	4/157	137/8577	0.24220288497372	0.566864350704768	0.442833455035833	713/7124/714/712	4
hsa04810	Regulation of actin cytoskeleton	6/157	229/8577	0.242432552502668	0.566864350704768	0.442833455035833	2254/80310/5154/8817/2147/56034	6
hsa05150	Staphylococcus aureus infection	3/157	96/8577	0.256955310702388	0.592114411618545	0.462558759159142	713/714/712	3
hsa05231	Choline metabolism in cancer	3/157	98/8577	0.266864802109291	0.606164336219675	0.473534536073629	80310/5154/56034	3
hsa05134	Legionellosis	2/157	56/8577	0.273544145846105	0.612584777317333	0.478550173607714	7124/2920	2
hsa04916	Melanogenesis	3/157	101/8577	0.281811787048748	0.622334363065986	0.486166533212753	7483/54361/7474	3
hsa04072	Phospholipase D signaling pathway	4/157	148/8577	0.28670646612375	0.62447024813255	0.487835082950288	80310/5154/2147/56034	4
hsa04145	Phagosome	4/157	152/8577	0.303196017883507	0.651461714101048	0.50892076970489	1520/78989/1311/81035	4
hsa00310	Lysine degradation	2/157	63/8577	0.321086199229799	0.680702742367175	0.531763810654264	5352/8985	2
hsa04614	Renin-angiotensin system	1/157	23/8577	0.346531913457419	0.724981239996441	0.566354096786363	5476	1
hsa04664	Fc epsilon RI signaling pathway	2/157	68/8577	0.354604976140821	0.730233664154964	0.570457281498085	7124/3596	2
hsa05417	Lipid and atherosclerosis	5/157	215/8577	0.358227835245832	0.730233664154964	0.570457281498085	7124/8743/2920/6352/6348	5
hsa05164	Influenza A	4/157	171/8577	0.382404437861893	0.767228982481257	0.599357960495123	3552/7124/8743/6352	4
hsa04115	p53 signaling pathway	2/157	74/8577	0.394033796280364	0.767228982481257	0.599357960495123	3479/5054	2
hsa05163	Human cytomegalovirus infection	5/157	225/8577	0.39477738836047	0.767228982481257	0.599357960495123	7124/6351/6376/6352/6348	5
hsa04623	Cytosolic DNA-sensing pathway	2/157	75/8577	0.400503179534241	0.767228982481257	0.599357960495123	6351/6352	2
hsa05214	Glioma	2/157	75/8577	0.400503179534241	0.767228982481257	0.599357960495123	5154/3479	2
hsa04612	Antigen processing and presentation	2/157	78/8577	0.41971472415045	0.794460013570495	0.620630795109688	7124/1520	2
hsa01523	Antifolate resistance	1/157	30/8577	0.426030534945909	0.796927706545877	0.622558552614455	7124	1
hsa04068	FoxO signaling pathway	3/157	131/8577	0.431477085721892	0.797730891043963	0.623185998961851	3479/8743/7040	3
hsa04960	Aldosterone-regulated sodium reabsorption	1/157	37/8577	0.49591170996086	0.906321400962952	0.708016718395421	3479	1
hsa05330	Allograft rejection	1/157	38/8577	0.505178906862048	0.912766433989382	0.713051567101934	7124	1
hsa05219	Bladder cancer	1/157	41/8577	0.531976915265018	0.925845512662027	0.72326892084819	4313	1
hsa01522	Endocrine resistance	2/157	98/8577	0.538867215178822	0.925845512662027	0.72326892084819	3479/4313	2
hsa04750	Inflammatory mediator regulation of TRP channels	2/157	98/8577	0.538867215178822	0.925845512662027	0.72326892084819	3479/4803	2
hsa04932	Non-alcoholic fatty liver disease	3/157	155/8577	0.542978993915708	0.925845512662027	0.72326892084819	3552/7124/7040	3
hsa04934	Cushing syndrome	3/157	155/8577	0.542978993915708	0.925845512662027	0.72326892084819	7483/54361/7474	3
hsa04218	Cellular senescence	3/157	156/8577	0.547355208743588	0.925845512662027	0.72326892084819	3552/7040/5054	3
hsa04217	Necroptosis	3/157	159/8577	0.560337514351053	0.937005395966705	0.731987002476473	3552/7124/8743	3
hsa05161	Hepatitis B	3/157	162/8577	0.573095723019519	0.937005395966705	0.731987002476473	7124/3339/7040	3
hsa04930	Type II diabetes mellitus	1/157	46/8577	0.573472872219801	0.937005395966705	0.731987002476473	7124	1
hsa00514	Other types of O-glycan biosynthesis	1/157	47/8577	0.581322451291597	0.937005395966705	0.731987002476473	8985	1
hsa05166	Human T-cell leukemia virus 1 infection	4/157	222/8577	0.583418454092477	0.937005395966705	0.731987002476473	4316/3600/7124/7040	4
hsa04659	Th17 cell differentiation	2/157	108/8577	0.591859042913873	0.941055878233058	0.735151232250916	10148/7040	2
hsa00330	Arginine and proline metabolism	1/157	50/8577	0.604020239785016	0.94367435446411	0.737196781375472	5033	1
hsa04913	Ovarian steroidogenesis	1/157	51/8577	0.611311059810084	0.94367435446411	0.737196781375472	3479	1
hsa04979	Cholesterol metabolism	1/157	51/8577	0.611311059810084	0.94367435446411	0.737196781375472	51129	1
hsa04340	Hedgehog signaling pathway	1/157	56/8577	0.645812017252589	0.946363265680505	0.739297354189339	1954	1
hsa04935	Growth hormone synthesis, secretion and action	2/157	120/8577	0.649335203704025	0.946363265680505	0.739297354189339	3479/3483	2
hsa04071	Sphingolipid signaling pathway	2/157	121/8577	0.653825298291398	0.946363265680505	0.739297354189339	7124/1509	2
hsa04621	NOD-like receptor signaling pathway	3/157	186/8577	0.666610128494827	0.946363265680505	0.739297354189339	7124/2920/6352	3
hsa04611	Platelet activation	2/157	124/8577	0.667022765166646	0.946363265680505	0.739297354189339	2147/2244	2
hsa04730	Long-term depression	1/157	60/8577	0.671207490130747	0.946363265680505	0.739297354189339	3479	1
hsa05416	Viral myocarditis	1/157	60/8577	0.671207490130747	0.946363265680505	0.739297354189339	284217	1
hsa05132	Salmonella infection	4/157	249/8577	0.673540473376505	0.946363265680505	0.739297354189339	7124/8743/6281/302	4
hsa05206	MicroRNAs in cancer	5/157	310/8577	0.675869212729368	0.946363265680505	0.739297354189339	7148/5154/4325/3371/6768	5
hsa04213	Longevity regulating pathway - multiple species	1/157	61/8577	0.677268359456739	0.946363265680505	0.739297354189339	3479	1
hsa05167	Kaposi sarcoma-associated herpesvirus infection	3/157	194/8577	0.694289935860718	0.946363265680505	0.739297354189339	285/9976/2920	3
hsa04929	GnRH secretion	1/157	64/8577	0.694792860233378	0.946363265680505	0.739297354189339	6696	1
hsa04650	Natural killer cell mediated cytotoxicity	2/157	132/8577	0.700246538179978	0.946363265680505	0.739297354189339	7124/8743	2
hsa05130	Pathogenic Escherichia coli infection	3/157	198/8577	0.707471543201181	0.946363265680505	0.739297354189339	7124/2147/8743	3
hsa05010	Alzheimer disease	6/157	384/8577	0.711234882484224	0.946363265680505	0.739297354189339	3552/102/7124/7483/54361/7474	6
hsa04915	Estrogen signaling pathway	2/157	137/8577	0.719593192612017	0.946363265680505	0.739297354189339	4313/1509	2
hsa04920	Adipocytokine signaling pathway	1/157	69/8577	0.721923627231741	0.946363265680505	0.739297354189339	7124	1
hsa05415	Diabetic cardiomyopathy	3/157	203/8577	0.723336750749812	0.946363265680505	0.739297354189339	4313/7040/1509	3
hsa04371	Apelin signaling pathway	2/157	139/8577	0.72703481079732	0.946363265680505	0.739297354189339	5054/6696	2
hsa04622	RIG-I-like receptor signaling pathway	1/157	71/8577	0.7320923376019	0.946363265680505	0.739297354189339	7124	1
hsa03320	PPAR signaling pathway	1/157	75/8577	0.751334403677391	0.952039388699391	0.74373153172147	51129	1
hsa05212	Pancreatic cancer	1/157	76/8577	0.755926323063729	0.952039388699391	0.74373153172147	7040	1
hsa05220	Chronic myeloid leukemia	1/157	76/8577	0.755926323063729	0.952039388699391	0.74373153172147	7040	1
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	1/157	77/8577	0.760433977137249	0.952039388699391	0.74373153172147	284217	1
hsa04514	Cell adhesion molecules	2/157	158/8577	0.789747063878148	0.967904008095916	0.756124945086515	1462/6383	2
hsa03083	Polycomb repressive complex	1/157	84/8577	0.789753755734422	0.967904008095916	0.756124945086515	3054	1
hsa04012	ErbB signaling pathway	1/157	85/8577	0.793640328247044	0.967904008095916	0.756124945086515	3084	1
hsa05210	Colorectal cancer	1/157	86/8577	0.797455503525566	0.967904008095916	0.756124945086515	7040	1
hsa04211	Longevity regulating pathway	1/157	89/8577	0.808485561472831	0.973857608137728	0.76077588719134	3479	1
hsa04658	Th1 and Th2 cell differentiation	1/157	92/8577	0.818918568508988	0.975677587602629	0.762197652016619	3596	1
hsa04912	GnRH signaling pathway	1/157	93/8577	0.822269161878946	0.975677587602629	0.762197652016619	4313	1
hsa04914	Progesterone-mediated oocyte maturation	1/157	102/8577	0.84978297268093	0.99109698823974	0.774243261253157	3479	1
hsa04625	C-type lectin receptor signaling pathway	1/157	104/8577	0.855297306773419	0.99109698823974	0.774243261253157	7124	1
hsa04931	Insulin resistance	1/157	108/8577	0.865729717192727	0.99109698823974	0.774243261253157	7124	1
hsa05202	Transcriptional misregulation in cancer	2/157	193/8577	0.872874934633994	0.99109698823974	0.774243261253157	5154/3479	2
hsa04670	Leukocyte transendothelial migration	1/157	115/8577	0.88221950797756	0.99109698823974	0.774243261253157	4313	1
hsa04722	Neurotrophin signaling pathway	1/157	119/8577	0.890721681328199	0.99109698823974	0.774243261253157	4803	1
hsa04152	AMPK signaling pathway	1/157	121/8577	0.894741179463626	0.99109698823974	0.774243261253157	3479	1
hsa04660	T cell receptor signaling pathway	1/157	121/8577	0.894741179463626	0.99109698823974	0.774243261253157	7124	1
hsa04919	Thyroid hormone signaling pathway	1/157	121/8577	0.894741179463626	0.99109698823974	0.774243261253157	54361	1
hsa05207	Chemical carcinogenesis - receptor activation	2/157	212/8577	0.904221650141741	0.99109698823974	0.774243261253157	2254/8817	2
hsa04114	Oocyte meiosis	1/157	131/8577	0.912738505548137	0.99109698823974	0.774243261253157	3479	1
hsa05135	Yersinia infection	1/157	137/8577	0.922032356848855	0.99109698823974	0.774243261253157	7124	1
hsa05162	Measles	1/157	138/8577	0.923482702817425	0.99109698823974	0.774243261253157	3552	1
hsa04140	Autophagy - animal	1/157	141/8577	0.927674838578783	0.99109698823974	0.774243261253157	1509	1
hsa05022	Pathways of neurodegeneration - multiple diseases	5/157	476/8577	0.941360467103058	0.99109698823974	0.774243261253157	3552/7124/7483/54361/7474	5
hsa05131	Shigellosis	2/157	247/8577	0.943996129051012	0.99109698823974	0.774243261253157	7124/6352	2
hsa04110	Cell cycle	1/157	157/8577	0.946465580388098	0.99109698823974	0.774243261253157	7040	1
hsa05160	Hepatitis C	1/157	158/8577	0.947463787499626	0.99109698823974	0.774243261253157	7124	1
hsa04141	Protein processing in endoplasmic reticulum	1/157	170/8577	0.958092652129426	0.993548620761319	0.776158472359057	55768	1
hsa05014	Amyotrophic lateral sclerosis	3/157	364/8577	0.965800200382154	0.993548620761319	0.776158472359057	7124/310/3084	3
hsa04613	Neutrophil extracellular trap formation	1/157	191/8577	0.971806154556043	0.993548620761319	0.776158472359057	2244	1
hsa05169	Epstein-Barr virus infection	1/157	202/8577	0.977101123623423	0.993548620761319	0.776158472359057	7124	1
hsa05170	Human immunodeficiency virus 1 infection	1/157	212/8577	0.981051153833503	0.993548620761319	0.776158472359057	7124	1
hsa05016	Huntington disease	1/157	306/8577	0.996839753556712	0.999022428767695	0.780434601751659	7052	1
hsa04080	Neuroactive ligand-receptor interaction	1/157	367/8577	0.999022428767695	0.999022428767695	0.780434601751659	2147	1
