ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0071677	positive regulation of mononuclear cell migration	12/246	73/18903	1.64443437273371e-10	1.43199122944541e-08	9.55783619770973e-09	ADAM10/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/S100A14/WNT5A/CCL5/ADAM8/CCL3	12
BP	GO:0070372	regulation of ERK1 and ERK2 cascade	22/246	315/18903	1.69852940956367e-10	1.44017414674057e-08	9.6124531405501e-09	IL1A/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/PDGFA/FGF18/IGF1/CX3CL1/TGFB1/PDGFC/CCL14/EPO/LIF/FGB/FBLN1/CCL5/EMILIN1/SERPINF2/CCL3	22
BP	GO:0071772	response to BMP	17/246	178/18903	1.81860587645692e-10	1.46488703348605e-08	9.77739948842497e-09	GDF15/FBN1/FSTL3/LEFTY1/ADAMTS7/HTRA3/SULF1/SFRP1/COMP/TGFB1/SFRP4/CRIM1/WNT5A/ADAMTS12/SFRP5/MEGF8/FSTL1	17
BP	GO:0071773	cellular response to BMP stimulus	17/246	178/18903	1.81860587645692e-10	1.46488703348605e-08	9.77739948842497e-09	GDF15/FBN1/FSTL3/LEFTY1/ADAMTS7/HTRA3/SULF1/SFRP1/COMP/TGFB1/SFRP4/CRIM1/WNT5A/ADAMTS12/SFRP5/MEGF8/FSTL1	17
BP	GO:0048771	tissue remodeling	17/246	179/18903	1.9863972003692e-10	1.56101750721696e-08	1.04190230561085e-08	IL1A/IL15/PTN/MMP2/CTSK/SFRP1/CTHRC1/TGFB1/CST3/MDK/LIF/LTBP3/ADAM8/SPP1/RSPO3/SEMA3C/TIMP1	17
BP	GO:0060326	cell chemotaxis	22/246	319/18903	2.16194238494001e-10	1.65851865816112e-08	1.10697952191289e-08	ADAM10/PTN/GAS6/CCL21/LGALS9/PDGFD/PF4/ANXA1/CCL4/FGF18/MMP2/S100A14/CX3CL1/CXCL14/MDK/CCL14/VEGFB/LOX/WNT5A/CCL5/ADAM8/CCL3	22
BP	GO:0071674	mononuclear cell migration	18/246	206/18903	2.27298756226292e-10	1.69628857963595e-08	1.13218908432038e-08	ADAM10/TNF/GAS6/CCL21/LGALS9/PDGFD/ANXA1/CCL4/ECM1/S100A14/CX3CL1/MDK/CCL14/WNT5A/ARTN/CCL5/ADAM8/CCL3	18
BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	21/246	290/18903	2.31647105847244e-10	1.69628857963595e-08	1.13218908432038e-08	GDF15/FGF9/FBN1/LRG1/FSTL3/LEFTY1/HTRA3/SULF1/SFRP1/TGFB1/GDF11/SFRP4/CRIM1/LOX/WNT5A/SFRP5/EMILIN1/LTBP1/LTBP4/FBN2/FSTL1	21
BP	GO:0045861	negative regulation of proteolysis	23/246	352/18903	2.40376753077175e-10	1.72109755203257e-08	1.14874785154776e-08	CPAMD8/CSTB/TNF/GAS6/SERPINA3/F2/ECM1/SERPINF1/CST4/NGF/SERPINB1/CST3/SERPING1/CST7/ANXA2/CRIM1/SLPI/CST2/SERPINA10/SERPINF2/CST1/PZP/TIMP1	23
BP	GO:1903035	negative regulation of response to wounding	13/246	94/18903	2.64730723701498e-10	1.85426606905701e-08	1.23763127808275e-08	F12/TNF/PDGFA/F2/MMRN1/MDK/SERPING1/WNT4/ANXA2/C1QTNF1/FGB/SPP1/SERPINF2	13
BP	GO:0001667	ameboidal-type cell migration	27/246	492/18903	3.11738701361562e-10	2.13706828890841e-08	1.42638783176186e-08	LRG1/S100A2/PTN/TNF/TNFSF12/ANXA1/FGF18/SEMA4B/LAMA5/SEMA6C/LGALS8/ANGPT2/SERPINF1/HYAL2/ADAM9/SEMA4A/TGFB1/WNT5A/SEMA4C/ADAMTS9/DCN/PLXND1/ANXA3/MEGF8/SEMA3C/TIMP1/FSTL1	27
BP	GO:0050900	leukocyte migration	24/246	398/18903	4.91098640587698e-10	3.29649962494492e-08	2.20025114631725e-08	IL1A/ADAM10/PTN/TNF/GAS6/CCL21/LGALS9/PDGFD/PF4/ANXA1/CCL4/ECM1/MMP2/S100A14/CX3CL1/MDK/CCL14/VEGFB/WNT5A/ARTN/CCL5/ADAM8/EMILIN1/CCL3	24
BP	GO:0051897	positive regulation of protein kinase B signaling	14/246	120/18903	5.43423121745046e-10	3.57328428216844e-08	2.38499127330855e-08	GDF15/TNF/GAS6/CCL21/PDGFA/CSF3/IGF1/F10/CX3CL1/TGFB1/C1QTNF1/IGF2/ADAM8/CCL3	14
BP	GO:0043491	protein kinase B signaling	18/246	218/18903	5.72647018399843e-10	3.69013738656859e-08	2.46298496545448e-08	GDF15/TNF/GAS6/CCL21/PDGFA/CSF3/IGF1/F10/HYAL2/CX3CL1/TGFB1/C1QTNF1/LOX/IGF2/SFRP5/CCL5/ADAM8/CCL3	18
BP	GO:0070371	ERK1 and ERK2 cascade	22/246	340/18903	7.23435438965969e-10	4.57040977323206e-08	3.05052342994319e-08	IL1A/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/PDGFA/FGF18/IGF1/CX3CL1/TGFB1/PDGFC/CCL14/EPO/LIF/FGB/FBLN1/CCL5/EMILIN1/SERPINF2/CCL3	22
BP	GO:0071675	regulation of mononuclear cell migration	14/246	123/18903	7.56733559538256e-10	4.68883755544665e-08	3.12956814197704e-08	ADAM10/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/ECM1/S100A14/MDK/WNT5A/CCL5/ADAM8/CCL3	14
BP	GO:0050767	regulation of neurogenesis	23/246	377/18903	9.18547149362201e-10	5.57715906202986e-08	3.72247899759124e-08	PLXNA3/PTN/TNF/NTN1/SEMA4B/F2/SEMA6C/SERPINF1/NGF/CX3CL1/SEMA4A/S100A10/TGFB1/MDK/ANXA2/LIF/CLCF1/WNT5A/SEMA4C/SPP1/PLXND1/MEGF8/SEMA3C	23
BP	GO:1903034	regulation of response to wounding	16/246	172/18903	9.34719395870927e-10	5.57715906202986e-08	3.72247899759124e-08	F12/PTN/TNF/ANXA1/PDGFA/F2/MMRN1/MDK/SERPING1/WNT4/ANXA2/C1QTNF1/FGB/EMILIN1/SPP1/SERPINF2	16
BP	GO:0007596	blood coagulation	18/246	225/18903	9.54770695326701e-10	5.59322032789569e-08	3.73319910153579e-08	F12/ANXA5/GAS6/PF4/PDGFA/F2/F10/COMP/MMRN1/SERPING1/ANXA2/C1QTNF1/FGB/FBLN1/SERPINA10/EMILIN1/SERPINF2/F13A1	18
BP	GO:0050817	coagulation	18/246	230/18903	1.35966764777797e-09	7.82294493060826e-08	5.22143045941804e-08	F12/ANXA5/GAS6/PF4/PDGFA/F2/F10/COMP/MMRN1/SERPING1/ANXA2/C1QTNF1/FGB/FBLN1/SERPINA10/EMILIN1/SERPINF2/F13A1	18
BP	GO:0007599	hemostasis	18/246	231/18903	1.45765485006299e-09	8.23958583667184e-08	5.49951774455897e-08	F12/ANXA5/GAS6/PF4/PDGFA/F2/F10/COMP/MMRN1/SERPING1/ANXA2/C1QTNF1/FGB/FBLN1/SERPINA10/EMILIN1/SERPINF2/F13A1	18
BP	GO:0051960	regulation of nervous system development	25/246	456/18903	1.50594200897252e-09	8.36576750501628e-08	5.5837377937039e-08	PLXNA3/PTN/TNF/NTN1/SEMA4B/F2/SEMA6C/SERPINF1/NGF/CX3CL1/SEMA4A/S100A10/TGFB1/MDK/CST7/ANXA2/LIF/CLCF1/WNT5A/SEMA4C/AGRN/SPP1/PLXND1/MEGF8/SEMA3C	25
BP	GO:0048251	elastic fiber assembly	6/246	11/18903	1.99973416677044e-09	1.09205821785328e-07	7.28895076309011e-08	EFEMP2/TNXB/MFAP4/LTBP3/LOX/EMILIN1	6
BP	GO:0052548	regulation of endopeptidase activity	24/246	428/18903	2.09404282556096e-09	1.12450099732624e-07	7.50549033793167e-08	CPAMD8/CSTB/TNF/GAS6/LGALS9/SERPINA3/TNFSF10/SERPINF1/CST4/NGF/SERPINB1/CST3/SERPING1/CST7/ANXA2/CRIM1/SLPI/CST2/SERPINA10/CTSD/SERPINF2/CST1/PZP/TIMP1	24
BP	GO:0071347	cellular response to interleukin-1	13/246	111/18903	2.17056574498284e-09	1.14648570989093e-07	7.65222746678159e-08	ADAMTS7/CCL21/CCL4/MMP2/SFRP1/HYAL2/CX3CL1/HYAL3/CCL14/FGB/ADAMTS12/CCL5/CCL3	13
BP	GO:0030595	leukocyte chemotaxis	18/246	240/18903	2.68348208226158e-09	1.39454504339465e-07	9.30790134815011e-08	ADAM10/PTN/GAS6/CCL21/LGALS9/PF4/ANXA1/CCL4/MMP2/S100A14/CX3CL1/MDK/CCL14/VEGFB/WNT5A/CCL5/ADAM8/CCL3	18
BP	GO:0010721	negative regulation of cell development	16/246	188/18903	3.43524569089729e-09	1.75688279620176e-07	1.17263273959953e-07	IL1A/FBN1/PLXNA3/PTN/TNF/NTN1/SEMA4B/IGF1/F2/SEMA6C/SEMA4A/FBLN1/WNT5A/SEMA4C/SPP1/SEMA3C	16
BP	GO:0051896	regulation of protein kinase B signaling	16/246	189/18903	3.70990746597315e-09	1.86770653990086e-07	1.24660213042486e-07	GDF15/TNF/GAS6/CCL21/PDGFA/CSF3/IGF1/F10/HYAL2/CX3CL1/TGFB1/C1QTNF1/IGF2/SFRP5/ADAM8/CCL3	16
BP	GO:0002690	positive regulation of leukocyte chemotaxis	12/246	97/18903	4.84046756897742e-09	2.39938253957619e-07	1.60146967504791e-07	ADAM10/PTN/GAS6/CCL21/LGALS9/CCL4/S100A14/MDK/VEGFB/WNT5A/CCL5/CCL3	12
BP	GO:0030509	BMP signaling pathway	15/246	167/18903	5.14014589186249e-09	2.50932576720923e-07	1.67485136476476e-07	GDF15/FBN1/FSTL3/LEFTY1/HTRA3/SULF1/SFRP1/COMP/TGFB1/SFRP4/CRIM1/WNT5A/SFRP5/MEGF8/FSTL1	15
BP	GO:0061045	negative regulation of wound healing	11/246	78/18903	5.23360381799757e-09	2.51681664202809e-07	1.67985115477911e-07	F12/TNF/PDGFA/F2/MMRN1/SERPING1/WNT4/ANXA2/C1QTNF1/FGB/SERPINF2	11
BP	GO:0040013	negative regulation of locomotion	23/246	419/18903	6.89917062646429e-09	3.26621659244268e-07	2.18003871356804e-07	PODN/PLXNA3/TNF/CCL21/SEMA4B/SULF1/SEMA6C/ANGPT2/SERPINF1/SFRP1/HYAL2/CX3CL1/SEMA4A/TGFB1/WNT4/FBLN1/WNT5A/SEMA4C/ADAMTS9/EMILIN1/DCN/SEMA3C/TIMP1	23
BP	GO:0030278	regulation of ossification	13/246	122/18903	6.99469102664634e-09	3.26621659244268e-07	2.18003871356804e-07	PTN/ECM1/SFRP1/COMP/MGP/TGFB1/MDK/WNT4/LTBP3/WNT5A/CCL3/FAM20C/FBN2	13
BP	GO:0048841	regulation of axon extension involved in axon guidance	8/246	33/18903	7.69748716976291e-09	3.50875989773535e-07	2.34192442453962e-07	PLXNA3/SEMA4B/SEMA6C/SEMA4A/WNT5A/SEMA4C/MEGF8/SEMA3C	8
BP	GO:0030282	bone mineralization	13/246	123/18903	7.73190418185009e-09	3.50875989773535e-07	2.34192442453962e-07	PTN/IGF1/ECM1/COMP/MGP/TGFB1/WNT4/LTBP3/CLEC3B/LOX/CCL3/FAM20C/FBN2	13
BP	GO:0050919	negative chemotaxis	9/246	47/18903	8.19266780113702e-09	3.66621884100882e-07	2.44702051428698e-07	PLXNA3/NTN1/PDGFA/SEMA4B/SEMA6C/SEMA4A/WNT5A/SEMA4C/SEMA3C	9
BP	GO:0022409	positive regulation of cell-cell adhesion	20/246	322/18903	8.88771150125193e-09	3.92276800781284e-07	2.61825444802562e-07	IL1A/FSTL3/IL15/TNF/IGFBP2/CCL21/LGALS9/ANXA1/EBI3/IGF1/MMRN1/CX3CL1/MDK/EPO/FGB/WNT5A/IGF2/CCL5/ADAM8/SERPINF2	20
BP	GO:0031214	biomineral tissue development	15/246	174/18903	9.01708095357356e-09	3.92608578816406e-07	2.62046890300865e-07	PTN/GAS6/IGF1/ECM1/COMP/MGP/TGFB1/WNT4/LTBP3/CLEC3B/LOX/SPP1/CCL3/FAM20C/FBN2	15
BP	GO:0048660	regulation of smooth muscle cell proliferation	15/246	175/18903	9.74937444680776e-09	4.18833126234861e-07	2.7955048413794e-07	FGF9/EFEMP2/OGN/IL15/TNF/IL13/PDGFD/ELN/IGF1/MMP2/CX3CL1/TGFB1/CCL5/SERPINF2/ADAMTS1	15
