hgnc_symbol	affy_hugene_2_0_st_v1
MT-ND4	17119762
MT-ND4	17126270
MT-TH	17100679
MT-TH	17100681
MT-TH	17126272
MT-TH	17100677
MT-TH	17126278
MT-TH	17100675
MT-TH	17119762
MT-TS2	17100679
MT-TS2	17100681
MT-TS2	17126272
MT-TS2	17100677
MT-TS2	17126278
MT-TS2	17100675
MT-TS2	17119762
MT-TL2	17100679
MT-TL2	17100681
MT-TL2	17126272
MT-TL2	17100677
MT-TL2	17126278
MT-TL2	17100675
MT-TL2	17119762
MT-ND5	17100683
MT-ND5	17100679
MT-ND5	17100681
MT-ND5	17126272
MT-ND5	17100677
MT-ND5	17126278
MT-ND5	17100675
MT-ND5	17119762
MT-ND6	17100699
MT-ND6	17100697
MT-TE	17100699
MT-TE	17100697
MT-CYB	17100685
MT-CYB	17100683
MT-TT	17100685
MT-TP	17100701
	NA
	16669573
KIR2DL3	NA
KIR2DL1	16876278
KIR3DP1	NA
LILRP1	NA
KIR2DL3	16865470
KIR3DL2	16876297
LILRP2	NA
KIR2DS4	16865522
INTS3	16671217
INTS3	NA
PCMTD2	16916261
PCMTD2	NA
KIR2DS5	16876269
KIR2DS4	16876286
	16876514
	16876517
	16893809
LINC02109	NA
KIR2DS3	16876269
KIR2DL4	NA
KIR2DP1	NA
NCR1	16865554
NCR1	NA
KIR2DL2	16876242
KIR3DL2	16865530
KIR3DL3	NA
KIR3DL1	16865498
	16983631
FCAR	NA
OPRL1	NA
NPBWR2	16921447
	16921450
KIR2DL1	NA
KIR2DS2	16876286
MYT1	16916233
MYT1	NA
KIR3DL3	16865460
KIR2DL5B	16876260
KIR3DS1	NA
KIR3DL1	NA
	16669501
	16691828
KIR2DL2	16876286
KIR2DL5A	16876260
KIR2DS1	16876278
KIR2DL1	16865484
KIR2DL1	16876286
	16916261
	16916233
	16876269
SBNO2	16866574
SBNO2	NA
PTCHD3	16712766
DNAH10	16758730
DNAH10	NA
ODAD2P1	NA
FAM210CP	NA
TRIAP1P1	NA
	16712764
	16703493
SNTG2	NA
OR9G4	16738398
OR5G3	NA
OR9G3P	NA
OR5G1P	NA
OR5G4P	NA
OR5G5P	NA
	16693536
OR9G2P	NA
	16671292
OR9G1	16724798
GEMIN2P1	NA
OR9G9	16724798
GATAD2B	16693546
LINC02735	NA
CCDC92	NA
CCDC92	16772061
CCDC92	16772042
	17064934
KRT18P40	NA
	16860149
ZNF430	NA
RNA5-8SN5	17100820
RNA5-8SN5	17100824
	17100820
	17100824
ZNF85	NA
ZNF85	16860140
SLC27A3	16671264
SLC27A3	NA
	16772061
	16865522
	16860137
BNIP3P24	NA
	17100729
	17122080
ZNF66	17122168
ZNF66	17121964
ZNF66	NA
KIR2DP1	16865470
PIWIL1	16759159
PIWIL1	NA
	16693544
	16693534
KRTAP9-2	16834143
KRTAP9-10P	NA
KRTAP9-4	16834154
KRTAP9-6	16834162
	16805901
	16805877
	17100751
KRTAP9-7	16834165
KRTAP29-1	16844636
KRTAP9-12P	NA
KRTAP9-11P	NA
KRTAP9-9	16834158
	16670245
	16670267
PPIAL4F	16670270
PPIAL4F	16692470
PPIAL4F	16691925
DHX36	NA
IMPDH1P5	NA
RNVU1-26	16669630
RNVU1-2A	NA
DLG5	16715849
DLG5	NA
	17100764
	16921511
	16854130
ARHGEF26	NA
ARHGEF26	16947148
LINC01839	16949059
LINC02054	NA
RNU6-222P	NA
KIR2DL3	16876286
FTCD	NA
FTCD	16926610
	16993185
	17003457
ADI1	NA
	16993188
	17118076
TRAPPC12	NA
KRTAP9-3	16834148
	16993173
	16993180
	16834151
ARHGEF26-AS1	NA
	16923923
FTCD-AS1	16923920
LSS	16926644
LSS	NA
TPO	NA
TPO	16876549
	17122974
LINC01659	16927958
SUDS3P1	NA
ZDHHC8P1	17123058
ZDHHC8P1	17123060
ZDHHC8P1	17123066
ZDHHC8P1	16932988
ZDHHC8P1	NA
PROP1	17003468
LINC00254	16822860
HS3ST6	16822864
MEIOB	NA
MEIOB	16822860
CES5AP1	17123134
CES5AP1	16932980
LINC02124	NA
KRT20	16844497
KRT20	NA
KCNQ2-AS1	16915982
	17123104
	17123106
	17122978
FAM230I	16932995
	17074068
	17118317
KCNQ2	NA
ERICH1	NA
KRTAP3-1	16844555
KRTAP3-2	16844551
	17065045
ZNF965P	NA
GXYLT1P1	NA
KRTAP4-9	16834130
CYP4F34P	NA
LINC02557	16933006
CNN2P12	NA
SNX18P26	NA
LINC00328-2P	NA
ANKRD20A9P	17122912
ANKRD20A9P	17120960
KRTAP2-4	16844588
RNU6-55P	NA
	16772864
	17122956
	17122958
	16932130
KRT23	16844509
KRT23	NA
	16661788
ABCB11	NA
	16684289
SPATC1L	16926635
G6PC2	16887228
G6PC2	NA
SLC45A2	NA
SLC45A2	16995082
RXFP3	16983836
ADAMTS12	NA
	16965860
ABCB10P1	NA
	16995080
GOLGA8DP	16798534
GOLGA8DP	16797641
GOLGA8DP	16806390
GOLGA8DP	16805942
SPC25	16904780
LINC02549	17020613
APOBEC3B-AS1	16935204
APOBEC3A	NA
GARRE1	NA
	17117966
	16706400
DLG5-AS1	NA
DLG5-AS1	16706408
TUBGCP5	NA
	16706403
RN7SL284P	NA
RNU6-1266P	16715847
SEPTIN9-DT	NA
SEPTIN9	NA
	16930141
LSM14A	16860678
LSM14A	NA
KRT40	16844533
GOLGA6L1	16806049
GOLGA6L1	16806373
GOLGA6L1	16797738
GOLGA6L1	16798555
CRIM1	NA
ELMO2P1	NA
ELMO2P1	16805961
RPL21P36	NA
CRIM1-DT	16896343
NOSTRIN	NA
MPHOSPH10P5	NA
KRTAP1-1	16844572
	16844581
KRTAP4-11	16844600
	16834119
KRTAP2-5P	NA
CYFIP1	NA
KRTAP1-3	16844568
KRTAP4-16	16844598
KRT12	16844487
	17074075
	16893833
DLGAP2-AS1	NA
DLGAP2	NA
KRTAP1-5	16844558
KRT39	16844523
KRT39	NA
	17123416
	17123418
ANKRD18DP	NA
ANKRD18DP	16963634
CNTNAP2	NA
RPS17	NA
RPS17	16812527
RPS17	16812581
GOLGA6L22	16806049
GOLGA6L22	16806373
GOLGA6L22	16797738
GOLGA6L22	16798555
SLC25A51P1	17009974
ADH5P4	NA
AADACL2	16947026
KRTAP3-4P	NA
GOLGA8EP	16798534
GOLGA8EP	16797641
GOLGA8EP	16806390
KRTAP2-1	16844578
SKA1	16852312
	16950173
METRNL	17121708
METRNL	16839177
METRNL	17121706
METRNL	NA
KRTAP3-3	16844547
LINC02066	16947022
	16853370
KRTAP2-3	16844585
AADACL2-AS1	NA
RNU6-821P	16963644
	16704088
	16679897
	16993653
	16822254
	16950181
	16866392
	17091901
	16733806
	16979334
	16699572
ZNF43	NA
KRTAP4-12	16844604
KRTAP1-4	NA
HERC2P2	17121368
HERC2P2	17121148
HERC2P2	17121370
HERC2P2	17121482
HERC2P2	17121150
HERC2P2	17121476
HERC2P2	17121470
HERC2P2	17121474
HERC2P2	16805832
HERC2P2	17121376
HERC2P2	17121366
HERC2P2	16806014
PAXBP1	NA
	16834124
ZNF100	16870821
ZNF100	NA
KIR2DS1	16876286
C21orf62	16925127
C21orf62	NA
FRG1-DT	17123870
FRG1-DT	17123794
FRG1-DT	17123796
CCNYL6	NA
HERC2P7	16797869
HERC2P7	17121142
SPATA31E3P	NA
	17053011
	16973243
GOLGA8IP	16797844
GOLGA8IP	16806409
C21orf62-AS1	16922183
C21orf62-AS1	NA
RNU1-51P	16982385
DNM1P38	NA
KCNIP4	NA
BRI3BPP1	16860217
VN1R84P	NA
MTDHP4	NA
MAPK4	NA
	16965467
	16997046
CPEB1	16812598
CPEB1	NA
	16720195
TBCD	NA
	16985849
	16852310
	16965472
RNA5SP458	16852310
LRRC56	16720197
	17124068
MPHOSPH10P9	NA
CTDP1-DT	16856122
	16856130
	16921461
	16982468
RPS6P22	NA
LRIG3-DT	NA
MAFIP	16921461
SMN2	16985777
SMN2	NA
	16659936
TUBGCP5	16797751
	17117433
	16853294
CTDP1	16853298
CTDP1	NA
DECR2	16814230
DECR2	NA
MREGP1	NA
	17120692
	16762890
	16748165
AP2A2	NA
AP2A2	16720440
	17100797
SNTB2	NA
RPL4P5	NA
PHRF1	16720231
PHRF1	NA
UTP4	NA
UTP4	16820537
SINHCAF	16762921
SINHCAF	NA
MAD2L1-DT	NA
GART	NA
ABR	16839294
ABR	NA
MEGF11	NA
RPS5P3	NA
DNAJC28	NA
DNAJC28	16925187
UGT2A3	16976546
UGT2A3	16982444
	16749718
B3GNTL1	16850302
B3GNTL1	NA
IFNGR2	16922275
IFNGR2	NA
MUC6	16734199
MUC6	NA
UGT2B27P	NA
	16820570
	17124100
MUC20-OT1	NA
MUC20-OT1	16949911
CDH12P2	NA
PMCHL2	16983540
PMCHL2	16985844
PMCHL2	NA
UGT2B29P	NA
UGT2B10	16967339
UGT2B10	16982418
PRB1	NA
RAB11FIP3	16814250
RAB11FIP3	NA
GTF2H2	16985794
GTF2H2	NA
RNU6-1025P	16720494
UGT2B15	NA
SDHAP2	NA
KRTAP5-6	16720731
KRTAP5-1	16734281
KRTAP5-4	16734291
KRTAP5-4	16728503
	16963123
	17123506
KRTAP5-5	NA
MT2P1	NA
FAM99A	16734299
FAM99A	16720724
DIS3L-AS1	NA
TMPRSS11E	16967327
TMPRSS11E	NA
LINC02708	16720728
KRTAP5-AS1	NA
TMEM50B	NA
TMEM50B	16925158
NDUFA6	16935553
DUSP8	16734271
GNG5P1	NA
	17014619
TCF20	16935593
TCF20	NA
FAM99B	16734299
IFITM10	NA
KRTAP5-3	16734287
KRTAP5-2	16734284
SMDT1	16930860
SMDT1	NA
YTHDC1	16982426
YTHDC1	NA
LINC00235	16822464
CAPN15	NA
	16822462
NDUFA6-DT	NA
OLA1P1	NA
	16935577
	16925181
CYP2D7	16935581
CYP2D7	NA
LINC02982	16993848
NKD2	16982672
NKD2	NA
CSPG4P10	NA
CSPG4P10	16803991
CSPG4P10	16803947
	16803932
GOLGA6L9	NA
GOLGA6L9	16812560
GOLGA6L9	16812505
GOLGA6L9	16803973
GOLGA6L9	16804396
GOLGA6L9	16803932
GOLGA6L9	16804003
GOLGA6L9	16812544
GOLGA6L17P	16804003
	16734296
CYP2D8P	17123086
CYP2D8P	17123138
CYP2D8P	17123082
GOLGA2P10	16812517
GOLGA2P10	16803959
GOLGA2P10	16812572
GOLGA2P10	16812855
SLC12A7	16993878
SLC12A7	NA
LMNTD2	NA
LMNTD2	16733963
UBE2Q2P6	NA
TIMM22	16829508
ADAMTS7P1	16803901
ADAMTS7P1	17117663
ADAMTS7P1	17121310
ADAMTS7P1	17125908
ADAMTS7P1	NA
NXN	NA
MUC4	NA
GOLGA6L10	16812560
GOLGA6L10	16812505
GOLGA6L10	16804396
GOLGA6L10	16803932
GOLGA6L10	16804003
GOLGA6L10	16812544
	16803991
	16803947
MIR210HG	NA
MIR210HG	16733985
	16804152
LINC00824	NA
GOLGA6L10	NA
	16982669
RNH1	16733920
RNH1	NA
UBE2Q2P2	16803926
UBE2Q2P2	16803966
UBE2Q2P2	17125752
UBE2Q2P2	NA
	16982310
	16938301
MUC20	NA
KIF26B	NA
KIF26B	16679596
RPL7AP55	NA
OR10A3	16735328
OR5P2	16735317
OR5E1P	16721657
OR5P3	16735321
OR10A6	16735325
NLRP10	16735332
NDUFA6-DT	16930868
	16735303
	16735323
SERF1B	NA
SERF1B	16985763
SERF1B	16985809
	16876278
KIR2DS2	NA
TARM1	16875254
CYP2D6	16935560
MBOAT7	16875323
NAIP	16996983
NAIP	17124068
NAIP	17124060
NAIP	17124066
NAIP	NA
CNOT3	16865214
DRD4	16720258
DEAF1	NA
CLK2	NA
OR2AS2P	NA
OR2T6	16679801
OR2T2	NA
	16935560
OR2T4	16679799
RDH13	16875559
IRF7	16733995
IRF7	NA
OR2T7	NA
OR2T1	16679803
BDH1	17118024
BDH1	NA
OR2T3	16679808
TSEN34	16865244
MUC20	16949839
OR2T5	16679811
	16797144
TMEM179	NA
TMEM179	16797132
TMEM179	17117638
VSTM1	16875242
VSTM1	NA
OR2W1	17033801
OR2W1	17016660
OR2W1	17028564
OR2W1	17041465
OR2W1	17031345
OR2W1	17038850
OR2W1	17026505
OR2W1	17036093
	16701612
NOP56P1	NA
	17032773
	17027237
	17026050
	17037577
	17040287
	17030084
	17006021
	17124352
OR14J1	NA
TRIM27	17016624
TRIM27	17036079
TRIM27	17036088
TRIM27	17033780
TRIM27	17038817
TRIM27	17028529
TRIM27	17026472
TRIM27	17041432
TRIM27	NA
GP6	16875549
C14orf180	16789434
MCCC2	NA
PKLR	16694158
PKLR	NA
NLRP2	16865563
LILRA4	16875463
LILRA4	16875461
LILRA4	16875465
LILRA4	16875459
LILRA4	16875467
	16875297
HCG14	17037554
HCG14	17040264
HCG14	17026039
HCG14	17027214
HCG14	17034952
HCG14	17005993
HRAS	16733952
HRAS	NA
RPL13P	NA
	17026466
	17028523
	17036073
	17041426
	17033774
	17038811
	17016618
	17031324
ZNF311	17033786
ZNF311	17026490
ZNF311	17038835
ZNF311	17028549
ZNF311	17031330
ZNF311	17016642
ZNF311	17041450
BDP1	16985852
BDP1	NA
PSMB1	NA
FAM120B	17014906
FAM120B	NA
	16963511
	16950069
	16963515
LENG1	16875290
LINC01623	17038814
LINC01623	17036076
LINC01623	17026469
LINC01623	17041429
LINC01623	17031327
LINC01623	17016621
LINC01623	17033777
ICE2P1	NA
LINC01060	16973180
LINC01060	NA
LINC01015	17030121
LINC01015	17026081
LINC01015	17037603
LINC01015	17040325
LINC01015	17006060
LINC01015	17034996
LINC01015	17027275
LINC01015	17032811
OR2B3	17016663
OR2B3	17031348
OR2B3	17028567
OR2B3	17038853
OR2B3	17026508
OR2B3	17036096
OR2B3	17041468
OR2B3	17033804
	17026244
	17027695
	17030544
	17033249
	17035340
LAIR1	NA
MTX1P1	NA
RPL7AP27	NA
SCAMP3	NA
SCAMP3	16694117
LST1	NA
DENND11	17063681
LMNTD2-AS1	16720213
LMNTD2-AS1	NA
RASSF7	16720219
RASSF7	NA
NLRP7	16875530
	17063695
RPS9	17122150
PCGF7P	NA
ZNF729	16860232
ZNF676	16870854
ZNF676	NA
GBA	NA
GBA	16694064
	16870860
ZNF92P2	NA
MTDHP5	NA
VN1R85P	NA
BNIP3P31	NA
BNIP3P30	NA
LILRA2	16865370
LILRA2	NA
SSBP1	NA
SSBP1	17052394
DLL1	17025989
DLL1	NA
CDHR5	16734016
CDHR5	NA
OR8U9	NA
OR8J2	NA
FAM8A2P	NA
NAA50P1	NA
OSCAR	16875262
OR8U8	16724793
OR8L1P	NA
OR5T3	16724777
OR5T2	NA
LINC01624	NA
LINC01624	17014902
OR8K2P	NA
OR8I1P	NA
OR8K3	16724783
OR8H1	16738371
OR5T1	NA
RPL5P29	NA
OR8K1	NA
OR8J1	16724789
SMN1	NA
SMN1	16985777
TFPT	16875274
OR2J3	17040285
OR2J3	17037575
OR2J3	17026048
OR2J3	17030082
OR2J3	17032771
OR2J3	17027235
	17124064
	17124070
	16996956
HLA-H	NA
MICB	17038075
MICB	17027751
MICB	17040670
MICB	17006616
MICB	17035375
MICB	17033297
MICB	17026250
LINC02197	16997053
DEFB104B	17074388
DEFB104B	17065432
AGK	NA
	16997058
SERF1A	NA
SERF1A	16985763
SERF1A	16985809
DEFB105B	17074419
DEFB105B	17065377
PRPF31	16865193
PRR23D1	17065388
PRR23D1	17074405
WEE2	17052378
WEE2	17052392
DEFB4B	17074361
	16875505
FAM90A7	17065352
FAM90A7	17065413
FAM90A7	17065408
FAM90A7	17065362
FAM90A7	17065347
FAM90A7	17065403
FAM90A7	17074400
FAM90A7	17065357
FAM90A7	17065398
FAM90A7	17065418
LILRB1	16865398
LILRB1	NA
DEFB103B	17074366
DEFB103B	17065453
	16965007
	17052392
DEFB108C	NA
FAM90A22	17065352
FAM90A22	17065413
FAM90A22	17065408
FAM90A22	17065362
FAM90A22	17065347
FAM90A22	17065403
FAM90A22	17074400
FAM90A22	17065357
FAM90A22	17065398
FAM90A22	17065418
OR7E157P	NA
HSPD1P3	NA
FAM90A21P	17065352
FAM90A21P	17065413
FAM90A21P	17065408
FAM90A21P	17065362
FAM90A21P	17065347
FAM90A21P	17065403
FAM90A21P	17074400
FAM90A21P	17065357
FAM90A21P	17065398
FAM90A21P	17065418
ZNF705G	17065463
NDUFA3	NA
HCN3	16671723
HCN3	NA
DEFB107B	17065383
DEFB107B	17074414
OR2U2P	NA
TRIM10	17036227
TRIM10	17033944
TRIM10	17026611
TRIM10	17031488
TRIM10	17016820
TRIM10	17041571
TRIM10	17038986
TRIM10	17028709
FAM90A6P	17065352
FAM90A6P	17065413
FAM90A6P	17065408
FAM90A6P	17065362
FAM90A6P	17065347
FAM90A6P	17065403
FAM90A6P	17074400
FAM90A6P	17065357
FAM90A6P	17065398
FAM90A6P	17065418
SPAG11B	NA
SPAG11B	17074371
	16720264
SCT	16734040
FAM189B	16694094
FAM189B	NA
PTDSS2	NA
DEFB106B	17065428
DEFB106B	17074396
MICG	NA
RNF39	17041542
RNF39	17026593
RNF39	17033915
RNF39	17036198
RNF39	17028680
RNF39	17031459
RNF39	17016787
FAM66B	17120690
FAM66B	17065873
FAM90A23	17065352
FAM90A23	17065413
FAM90A23	17065408
FAM90A23	17065362
FAM90A23	17065347
FAM90A23	17065403
FAM90A23	17074400
FAM90A23	17065357
FAM90A23	17065398
FAM90A23	17065418
ZNF90P2	NA
MUC21	17035325
MUC21	17030532
MUC21	17033237
MUC21	17038014
MUC21	17006532
MUC21	17026232
HCG15	17032758
HCG15	17026042
HCG15	17040272
HCG15	17124352
HCG15	17027222
HCG15	17006003
HCG15	17037562
HCG15	17030069
TRIM31-AS1	17030228
TRIM31-AS1	17040430
TRIM31-AS1	17026146
TRIM31-AS1	17037714
TRIM31-AS1	17035085
TRIM31-AS1	17027385
TRIM31-AS1	17006192
TRIM31-AS1	17032925
TNF	17030620
TNF	17038117
TNF	17026267
TNF	17006659
TNF	17035418
TNF	17040712
TNF	17033337
TNF	17027794
OR11A1	NA
OR11A1	17031358
OR11A1	17028571
OR11A1	17036100
OR11A1	17038857
OR11A1	17033808
OR11A1	17026512
LINC03015	NA
PRAMEF5	16659434
PRAMEF5	16659407
PRAMEF5	16659413
FAM20C	NA
MOG	NA
MOG	17027287
MOG	17032823
MOG	17037615
MOG	17026093
MOG	17040331
MOG	17030133
MOG	17035008
LINC03014	17042671
LINC03014	NA
	17054211
	17054228
	17042677
PRAMEF22	16659399
PRAMEF18	16681933
PRAMEF18	16659395
BTG3-AS1	NA
BTG3	NA
	17120296
PRAMEF8	16681901
PRAMEF8	16659387
PRAMEF8	16681920
LILRA5	16875448
MBOAT7	NA
HNRNPCL2	16681884
RPS17P1	NA
OR5V1	17016667
OR5V1	17031356
	16924317
	17122854
	17126292
PRAMEF25	16659434
PRAMEF25	16681887
PRAMEF25	16659407
PRAMEF25	16659399
PRAMEF25	16659413
MICD	NA
OR2G1P	NA
WASF5P	NA
PTMAP1	NA
HLA-V	17032866
HLA-V	17040371
HLA-V	17006118
HLA-V	NA
HNRNPCL4	NA
PRAMEF33	17120252
PRAMEF33	16681862
PRAMEF9	16659434
PRAMEF9	16659413
	17030090
	17032779
	17006030
	17027243
	17026056
	17040293
LY6G6F	17006787
LY6G6F	17035542
LY6G6F	17033451
LY6G6F	17030746
LY6G6F	17027921
	16837402
	16681896
	16659393
MYL6P5	17117732
TMEM183AP1	NA
PSORS1C1	NA
PSORS1C1	17035346
PSORS1C1	17033255
PSORS1C1	17030550
HLA-T	NA
HLA-DRA	17007257
HLA-DRA	17035880
HLA-DRA	17038596
HLA-DRA	17031139
HLA-DRA	17033604
HLA-DRA	17041225
HLA-DRA	17028313
PPP1R11	NA
PPP1R11	17035073
PPP1R11	17026134
PPP1R11	17040418
PPP1R11	17027373
PPP1R11	17006180
PPP1R11	17032913
PPP1R11	17030216
BTNL2	17037181
BTNL2	17029694
BTNL2	17017872
BTNL2	17034692
BTNL2	17032376
BTNL2	17027071
BTNL2	17039894
BTNL2	17042390
BTNL2	NA
TOMM40P4	NA
CDRT15P3	17126098
CDRT15P3	16902893
	17126098
	17125132
RPL7P4	NA
RPL7AP7	NA
LTB	17026762
LTB	17034339
LTB	17041863
LTB	17029082
LTB	17039380
LTB	17036587
LTB	17031867
NDUFA3	16865175
CEACAM4	NA
CEACAM4	16872602
LINC01556	17034955
LINC01556	17027217
LINC01556	17040267
LINC01556	17032753
LINC01556	17037557
LINC01556	17005998
TMPOP1	NA
PSMB9	NA
PSMB9	17033661
PSMB9	17028360
PSMB9	17038644
PSMB9	17007307
CEACAMP3	17122172
CEACAMP3	NA
PLEKHA3P1	NA
DNAJC19P2	NA
CEACAM21	NA
CEACAM21	16862529
NDUFA6-DT	16930884
LILRA3	16875432
LILRA3	NA
GOLGA6L24P	16806049
GOLGA6L24P	16806373
GOLGA6L24P	16797738
GOLGA6L24P	16798555
FAM189A1	16806445
FAM189A1	NA
ATP23	NA
ATP23	16753228
GABBR1	17016697
GABBR1	17033830
GABBR1	17031378
GABBR1	17028593
GABBR1	17036121
GABBR1	17026529
GABBR1	17038872
GABBR1	NA
GABBR1	17031373
RPS9	16865259
RPS9	NA
DNAJC19P3	NA
TPM3P5	NA
	16872594
RNA5-8SN4	17100820
RNA5-8SN4	17100824
LINC01480	NA
CEACAM7	NA
NLRP7	NA
PTPRN2	NA
	17100784
MPHOSPH10P7	NA
IFITM4P	17016760
IFITM4P	17031434
IFITM4P	17036173
IFITM4P	17033890
IFITM4P	17028653
IFITM4P	17038932
IFITM4P	17041517
LINC02403	16753238
APBA2	NA
APBA2	16798624
OR11A1	17041472
GIHCG	16766794
RN7SKP65	16766801
LILRB2	NA
HLA-G	17027330
HLA-G	17040375
HLA-G	17037658
HLA-G	NA
HLA-G	17030176
HLA-G	17032870
HLA-G	17006122
HLA-G	17035037
KIR3DX1	16865349
KIR3DX1	NA
LILRA6	17122044
ZFP57	17026568
OR2H5P	NA
OR5V1	NA
GPR53P	NA
OR2J2	17032776
OR2J2	17027240
OR2J2	17030087
OR2J2	17026053
OR2J2	17040290
OR2J2	17034965
OR2J2	17037580
HLA-DRB9	NA
MSH5-SAPCD1	17030773
MSH5-SAPCD1	17040868
MSH5-SAPCD1	17026288
MSH5-SAPCD1	17027947
MSH5-SAPCD1	17035568
MSH5-SAPCD1	17006815
PHLDA2	16734491
CARS1	16734526
CARS1	NA
FAM138D	16884747
FAM138D	16679871
FAM138D	16866374
FAM138D	16746477
	16759726
	16759743
IQSEC3	17117911
IQSEC3	16746492
IQSEC3	17126062
IQSEC3	NA
CTSO	16980918
HERC2	17121168
HERC2	16806279
HERC2	NA
MROH5	NA
	17054203
SPPL2C	16835013
SPPL2C	17117782
ASIC5	16980905
RPS7P11	NA
	17117730
	17117784
	17117778
	16834981
	16835003
TDO2	NA
TDO2	16971758
MAS1LP1	NA
LINC01300	17073137
HCG4	17033892
HCG4	17031436
HCG4	17036175
HCG4	17016762
HCG4	17041519
DDX11L8	NA
SUMO2P1	NA
MDC1-AS1	17040598
MDC1-AS1	17026207
MDC1-AS1	17006374
MDC1-AS1	17030400
MDC1-AS1	17035225
MDC1-AS1	17027555
MDC1-AS1	17033105
ZNRD1ASP	17041521
ZNRD1ASP	17026572
ZNRD1ASP	17031438
ZNRD1ASP	17028659
ZNRD1ASP	NA
HNRNPA1P38	NA
	16759729
PTP4A3	17073146
PTP4A3	NA
SLC39A11	NA
KANSL1-AS1	16835042
KANSL1-AS1	16850363
WHAMMP2	17121260
WHAMMP2	17121258
IQSEC3-AS1	16759743
IQSEC3-AS1	NA
	16876286
MAPK8IP1P2	16850334
MAPK8IP1P2	16845969
MAPK8IP1P2	16850328
MAPK8IP1P2	16850360
WASH8P	16679860
WASH8P	16746485
WASH8P	17091905
NSFP1	16850337
NSFP1	16835064
RPL32P1	NA
OR2J1	NA
SLC5A8	16769088
WNT3	16846022
WNT3	16846029
WNT3	16850379
ABCB10P3	NA
DDX39BP1	NA
HCG4P8	NA
	17117911
	17126062
GOLGA8G	16798534
GOLGA8G	16797641
GOLGA8G	16806390
DHX16	NA
DHX16	17016918
DHX16	17036309
DHX16	17028809
DHX16	17026668
DHX16	17031588
DHX16	17041669
DHX16	17039085
DHX16	17034042
DLGAP2-AS1	17074091
GPR20	17081850
DLGAP2	17065138
DND1P1	17117730
DND1P1	17117784
DND1P1	17117778
ANO4	NA
ARHGAP27	16845899
ARHGAP27	16845929
ARHGAP27	NA
	17073157
APOM	17033412
APOM	17040800
APOM	17030705
APOM	17038205
APOM	17027882
APOM	17006745
APOM	17035503
	17094743
MAMDC2-AS1	17094739
MAMDC2	17085760
MAMDC2	NA
	16769106
HLA-K	NA
HSPA1B	17030833
HSPA1B	17006863
HSPA1B	17027994
HSPA1B	17038309
HSPA1B	17030820
HSPA1B	17026331
HSPA1B	17006881
HSPA1B	17026318
HSPA1B	17038297
HSPA1B	17028007
	16875338
	17122040
HERC2P1	16797869
HERC2P1	17121142
	17094753
HSP90AA4P	16973220
OCA2	16806249
OCA2	NA
	16973236
C4B_2	17041111
C4B_2	17007048
C4B_2	17035749
C4B_2	17041030
C4B_2	17031045
C4B_2	17038462
C4B_2	17007118
C4B_2	17030967
C4B_2	17028176
C4B_2	NA
	16982385
