hgnc_symbol	affy_hg_u133_plus_2
SPC25	209891_at
SPC25	
LINC02549	
APOBEC3B-AS1	
	208024_s_at
APOBEC3A	
APOBEC3A	206632_s_at
GARRE1	
	229689_s_at
DLG5-AS1	239565_at
DLG5-AS1	1562598_at
TUBGCP5	
RN7SL284P	
	243870_at
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	212132_at
LSM14A	212131_at
LSM14A	222099_s_at
LSM14A	
KRT40	1562628_at
KRT40	1562629_a_at
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	236656_s_at
NOSTRIN	
NOSTRIN	226992_at
MPHOSPH10P5	
KRTAP1-1	220976_s_at
	234772_s_at
KRTAP4-11	234633_at
KRTAP2-5P	
CYFIP1	
KRTAP1-3	220978_at
KRTAP1-3	234880_x_at
KRTAP4-16	
KRT12	207811_at
	1561257_at
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	233533_at
KRT39	
	1570099_at
	234424_at
ANKRD18DP	
CNTNAP2	215145_s_at
CNTNAP2	219300_s_at
CNTNAP2	219302_s_at
CNTNAP2	219301_s_at
RPS17	201665_x_at
RPS17	212578_x_at
RPS17	211487_x_at
RPS17	
GOLGA6L22	1561171_a_at
GOLGA6L22	1561170_at
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	240420_at
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	234691_at
SKA1	217640_x_at
SKA1	
METRNL	225955_at
KRTAP3-3	233681_at
LINC02066	
KRTAP2-3	1555673_at
AADACL2-AS1	
RNU6-821P	
ZNF43	222136_x_at
ZNF43	206695_x_at
KRTAP4-12	224269_at
KRTAP1-4	
HERC2P2	
HERC2P2	217317_s_at
PAXBP1	
	216810_at
ZNF100	238791_at
ZNF100	
	234631_at
C21orf62	220543_at
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	1556739_at
C21orf62-AS1	1559755_at
C21orf62-AS1	1557782_s_at
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	240439_at
MAPK4	
CPEB1	219578_s_at
CPEB1	222903_s_at
CPEB1	
TBCD	229192_s_at
TBCD	201759_at
TBCD	211052_s_at
TBCD	229191_at
TBCD	
	223923_at
RNA5SP458	
LRRC56	232554_at
	204860_s_at
MPHOSPH10P9	
CTDP1-DT	
	231952_at
	227330_x_at
	227715_at
	229748_x_at
RPS6P22	
LRIG3-DT	
	242884_at
MAFIP	227330_x_at
MAFIP	227715_at
MAFIP	229748_x_at
SMN2	203852_s_at
SMN2	
TUBGCP5	214876_s_at
TUBGCP5	227967_at
	233474_at
CTDP1	
DECR2	219664_s_at
DECR2	
MREGP1	
	228245_s_at
AP2A2	
AP2A2	211779_x_at
AP2A2	212161_at
AP2A2	215764_x_at
AP2A2	212159_x_at
SNTB2	
RPL4P5	200089_s_at
PHRF1	234952_s_at
PHRF1	
UTP4	224903_at
UTP4	230656_s_at
UTP4	
SINHCAF	220147_s_at
SINHCAF	223038_s_at
SINHCAF	
MAD2L1-DT	
GART	230766_at
GART	212378_at
GART	
ABR	212895_s_at
ABR	214671_s_at
ABR	231400_s_at
ABR	
MEGF11	
MEGF11	1569879_a_at
RPS5P3	
DNAJC28	220372_at
UGT2A3	219948_x_at
	211942_x_at
	220211_at
B3GNTL1	213589_s_at
B3GNTL1	
B3GNTL1	215055_at
IFNGR2	
IFNGR2	201642_at
MUC6	214133_at
MUC6	1565666_s_at
MUC6	
UGT2B27P	
MUC20-OT1	
MUC20-OT1	243774_at
MUC20-OT1	231941_s_at
MUC20-OT1	229820_at
MUC20-OT1	1557293_at
MUC20-OT1	222021_x_at
MUC20-OT1	230077_at
CDH12P2	
PMCHL2	224419_x_at
PMCHL2	217123_x_at
PMCHL2	224421_x_at
PMCHL2	224418_x_at
PMCHL2	224422_x_at
PMCHL2	224423_x_at
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	207752_x_at
PRB1	210597_x_at
PRB1	211531_x_at
RAB11FIP3	203933_at
RAB11FIP3	214999_s_at
RAB11FIP3	
GTF2H2	221540_x_at
GTF2H2	230177_at
GTF2H2	223758_s_at
GTF2H2	
RNU6-1025P	
UGT2B15	207392_x_at
SDHAP2	222021_x_at
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	240441_at
DIS3L-AS1	
TMPRSS11E	220431_at
TMPRSS11E	
LINC02708	242841_at
KRTAP5-AS1	1562681_at
KRTAP5-AS1	
TMEM50B	228001_at
TMEM50B	219600_s_at
TMEM50B	222907_x_at
TMEM50B	225182_at
TMEM50B	
NDUFA6	202000_at
NDUFA6	202001_s_at
DUSP8	206374_at
DUSP8	238594_x_at
GNG5P1	
	1562847_at
TCF20	212931_at
TCF20	
FAM99B	240441_at
IFITM10	227863_at
IFITM10	227886_at
KRTAP5-3	
KRTAP5-2	
SMDT1	225795_at
SMDT1	225794_s_at
SMDT1	228117_at
YTHDC1	240459_at
YTHDC1	212455_at
YTHDC1	228556_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	228117_at
NDUFA6-DT	
OLA1P1	
CYP2D7	207498_s_at
CYP2D7	
LINC02982	
NKD2	232201_at
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L9	213212_x_at
GOLGA6L17P	
	242841_at
CYP2D8P	
GOLGA2P10	
SLC12A7	218066_at
SLC12A7	
LMNTD2	236050_at
LMNTD2	
UBE2Q2P6	
TIMM22	222841_s_at
TIMM22	219184_x_at
TIMM22	229100_s_at
ADAMTS7P1	220705_s_at
ADAMTS7P1	
NXN	
MUC4	
MUC4	1561785_at
GOLGA6L10	
MIR210HG	230710_at
MIR210HG	236480_at
	244498_x_at
LINC00824	
LINC00824	1555580_at
RNH1	206050_s_at
RNH1	
RNH1	216798_at
UBE2Q2P2	
	200032_s_at
	1561704_at
MUC20	231941_s_at
MUC20	243774_at
MUC20	
KIF26B	1555164_at
KIF26B	238617_at
KIF26B	220002_at
KIF26B	
RPL7AP55	
OR10A3	1567251_at
OR5P2	1552991_at
OR5E1P	1566277_at
OR5P3	1553078_at
OR10A6	
NLRP10	1553534_at
NLRP10	
SERF1B	223538_at
SERF1B	223539_s_at
SERF1B	219982_s_at
TARM1	
CYP2D6	207498_s_at
	1559807_at
MBOAT7	209179_s_at
NAIP	204861_s_at
NAIP	204860_s_at
NAIP	
CNOT3	211141_s_at
CNOT3	203239_s_at
DRD4	208215_x_at
DEAF1	209407_s_at
DEAF1	
CLK2	203229_s_at
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
	207498_s_at
OR2T4	
RDH13	225449_at
RDH13	225467_s_at
IRF7	208436_s_at
IRF7	
OR2T7	
OR2T1	
BDH1	239643_at
BDH1	211715_s_at
BDH1	
BDH1	1570336_at
OR2T3	
TSEN34	218132_s_at
TSEN34	
OR2T5	
TMEM179	
VSTM1	235818_at
VSTM1	
OR2W1	221451_s_at
NOP56P1	
OR14J1	234545_at
TRIM27	210541_s_at
TRIM27	212118_at
TRIM27	212116_at
TRIM27	
GP6	220336_s_at
C14orf180	1558421_a_at
C14orf180	1558420_at
MCCC2	
NCR1	207860_at
NCR1	217095_x_at
PKLR	210451_at
PKLR	222078_at
PKLR	207858_s_at
PKLR	
NLRP2	221690_s_at
LILRA4	
	226403_at
HCG14	
HRAS	
HRAS	212983_at
RPL13P	
ZNF311	236550_s_at
ZNF311	236551_at
BDP1	224227_s_at
BDP1	226290_at
BDP1	231939_s_at
BDP1	
PSMB1	
	1557709_at
	243962_at
FAM120B	227895_at
FAM120B	226774_at
LENG1	232018_at
LINC01623	
ICE2P1	
LINC01060	
LINC01015	231571_at
OR2B3	234903_at
	1560767_at
LAIR1	210644_s_at
LAIR1	208071_s_at
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	201771_at
SCAMP3	
LST1	
DENND11	223162_s_at
DENND11	223161_at
DENND11	227502_at
LMNTD2-AS1	1561355_at
LMNTD2-AS1	1569453_a_at
LMNTD2-AS1	1569452_at
	1568763_s_at
RASSF7	40359_at
RASSF7	204927_at
RASSF7	
NLRP7	237461_at
	1553634_a_at
RPS9	217747_s_at
RPS9	214317_x_at
PCGF7P	
ZNF729	
	209093_s_at
ZNF676	
GBA	209093_s_at
GBA	210589_s_at
GBA	
	1566689_at
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	211101_x_at
LILRA2	211102_s_at
LILRA2	207857_at
LILRA2	211100_x_at
SSBP1	202591_s_at
SSBP1	1562442_a_at
SSBP1	
DLL1	224215_s_at
DLL1	227938_s_at
CDHR5	219796_s_at
CDHR5	220074_at
CDHR5	220075_s_at
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	1554503_a_at
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
SMN1	203852_s_at
TFPT	218996_at
OR2J3	217334_at
	238446_at
	214850_at
HLA-H	
MICB	205905_s_at
MICB	206247_at
LINC02197	
DEFB104B	1553521_at
AGK	
AGK	218568_at
AGK	222132_s_at
SERF1A	223538_at
SERF1A	223539_s_at
SERF1A	219982_s_at
DEFB105B	1553002_at
PRPF31	202408_s_at
PRPF31	202407_s_at
PRR23D1	240731_at
WEE2	
DEFB4B	207356_at
FAM90A7	
LILRB1	207104_x_at
LILRB1	211336_x_at
LILRB1	
DEFB103B	224239_at
	223162_s_at
	227502_at
DEFB108C	1561165_a_at
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	218563_at
HCN3	228741_s_at
HCN3	
DEFB107B	1563450_at
OR2U2P	
TRIM10	56748_at
TRIM10	221627_at
TRIM10	210579_s_at
FAM90A6P	
SPAG11B	
SPAG11B	210884_s_at
SPAG11B	207271_x_at
SPAG11B	211381_x_at
SPAG11B	1553582_a_at
SPAG11B	1553579_a_at
SCT	221198_at
FAM189B	1555515_a_at
FAM189B	203550_s_at
PTDSS2	
PTDSS2	221005_s_at
DEFB106B	1552411_at
DEFB106B	1552412_a_at
MICG	
RNF39	219916_s_at
RNF39	1566301_at
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	207113_s_at
OR11A1	221343_at
LINC03015	
PRAMEF5	217365_at
	1556445_at
FAM20C	
MOG	214650_x_at
MOG	205989_s_at
MOG	211836_s_at
MOG	1555807_a_at
MOG	
LINC03014	233176_at
	208312_s_at
PRAMEF22	217365_at
PRAMEF18	
BTG3-AS1	
BTG3-AS1	1556213_a_at
BTG3	
PRAMEF8	
LILRA5	215838_at
LILRA5	1555643_s_at
LILRA5	1555634_a_at
MBOAT7	211037_s_at
MBOAT7	
HNRNPCL2	
RPS17P1	
OR5V1	234840_s_at
PRAMEF25	217365_at
MICD	
	1555373_at
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	217273_at
PRAMEF9	217365_at
LY6G6F	234897_s_at
MYL6P5	
TMEM183AP1	
PSORS1C1	
PSORS1C1	220362_at
HLA-T	
HLA-DRA	208894_at
HLA-DRA	210982_s_at
PPP1R11	201500_s_at
PPP1R11	1566303_s_at
BTNL2	221457_s_at
	217723_x_at
	213897_s_at
TOMM40P4	
CDRT15P3	206611_at
	206611_at
	242418_at
RPL7P4	
RPL7AP7	
LTB	207339_s_at
CEACAM4	
CEACAM4	207205_at
LINC01556	
TMPOP1	
PSMB9	204279_at
CEACAMP3	1562825_at
PLEKHA3P1	227658_s_at
DNAJC19P2	
CEACAM21	216605_s_at
CEACAM21	214907_at
CEACAM21	
LILRA3	206881_s_at
LILRA3	
GOLGA6L24P	
FAM189A1	213997_at
FAM189A1	
ATP23	
ATP23	227678_at
GABBR1	203146_s_at
GABBR1	
GABBR1	205890_s_at
RPS9	1557981_at
RPS9	
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
CEACAM7	206199_at
PTPRN2	
	241624_at
	244631_at
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
APBA2	209870_s_at
APBA2	209871_s_at
GIHCG	226546_at
RN7SKP65	
LILRB2	210146_x_at
LILRB2	207697_x_at
LILRB2	
HLA-G	210514_x_at
HLA-G	211528_x_at
HLA-G	211530_x_at
HLA-G	211529_x_at
KIR3DX1	
KIR3DX1	216428_x_at
LILRA6	208594_x_at
LILRA6	
ZFP57	231236_at
OR2H5P	
OR5V1	
GPR53P	
OR2J2	216818_s_at
OR2J2	208508_s_at
HLA-DRB9	
MSH5-SAPCD1	212913_at
MSH5-SAPCD1	221406_s_at
MSH5-SAPCD1	210410_s_at
PHLDA2	209803_s_at
CARS1	202402_s_at
CARS1	212971_at
CARS1	240983_s_at
CARS1	
FAM138D	1555822_at
IQSEC3	1556872_s_at
IQSEC3	
CTSO	203758_at
HERC2	222461_s_at
HERC2	217902_s_at
HERC2	
MROH5	
SPPL2C	231253_at
ASIC5	
RPS7P11	213941_x_at
RPS7P11	200082_s_at
	1568987_at
	1553400_a_at
	1553399_a_at
	1558611_at
TDO2	
TDO2	205943_at
MAS1LP1	
LINC01300	1569297_at
HCG4	
DDX11L8	
SUMO2P1	208739_x_at
MDC1-AS1	
	232841_at
ZNRD1ASP	
ZNRD1ASP	215985_at
ZNRD1ASP	234457_at
ZNRD1ASP	234097_s_at
HNRNPA1P38	
	1562251_a_at
PTP4A3	209695_at
PTP4A3	206574_s_at
PTP4A3	
PTP4A3	214223_at
SLC39A11	
KANSL1-AS1	230388_s_at
WHAMMP2	244105_at
WHAMMP2	1557261_at
WHAMMP2	213908_at
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	225035_x_at
WASH8P	233929_x_at
WASH8P	226340_x_at
NSFP1	
RPL32P1	
OR2J1	216818_s_at
SLC5A8	237503_at
WNT3	221455_s_at
WNT3	231743_at
WNT3	229103_at
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
	1553949_at
GOLGA8G	222149_x_at
GOLGA8G	
DHX16	
DLGAP2-AS1	1564421_at
GPR20	214510_at
DLGAP2	210227_at
DLGAP2	216916_s_at
DND1P1	
ANO4	236420_s_at
ANO4	229749_at
ARHGAP27	227057_at
ARHGAP27	225618_at
ARHGAP27	
ARHGAP27	1554594_at
APOM	205682_x_at
APOM	214910_s_at
	1559656_a_at
	1559655_at
MAMDC2-AS1	
MAMDC2	
HLA-K	
	221382_at
HSPA1B	202581_at
HSPA1B	200800_s_at
HERC2P1	
HSP90AA4P	
OCA2	
C4B_2	214428_x_at
C4B_2	208451_s_at
C4B_2	
C4B_2	235856_at
C4B_2	1559036_at
RPH3AL-AS2	244880_at
RPH3AL-AS1	238091_at
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
	240974_at
NSMCE3	226008_at
HERC2P9	
HERC2P9	217317_s_at
RPL41P2	201492_s_at
GOLGA6L25P	
GOLGA8F	
GOLGA8F	222149_x_at
OR2U1P	
LINC00533	
MUC2	204673_at
MUC2	
MAPT-IT1	
	244880_at
CHRFAM7A	210123_s_at
	1569644_at
	224490_s_at
	224489_at
APBA1	228101_at
APBA1	206679_at
APBA1	
OR2H4P	234760_at
TRIM26BP	
	1559284_at
SERPINF1	
WNT9B	
WNT9B	1552973_at
RPSAP2	
PPP1R10	201703_s_at
PPP1R10	201702_s_at
PPP1R10	
SCARF1	1555021_a_at
SCARF1	206995_x_at
SCARF1	
TTYH1	
TTYH1	219415_at
MAPT-AS1	1563367_at
MAPT-AS1	237331_s_at
MAPT-AS1	237536_at
LINC02210-CRHR1	
MAPK8IP1P1	
LRRC37A4P	220220_at
LRRC37A4P	220219_s_at
NDUFB9P1	
	215599_at
NSF	202395_at
NSF	
PRH2	205272_s_at
ARHGAP11A	204492_at
TRBV11-1	
TAF9	202168_at
TRBV7-6	
LINC02688	231278_at
TRBV10-1	
TRBV5-2	216578_at
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	
TRBV1	
TRBV19	
TAS2R19	
TRBV12-4	
LINC02569	
TAS2R8	221398_at
OR2J4P	
TRBV7-1	
HCG18	225577_at
HCG18	225584_at
HCG18	242618_at
HCG18	242812_at
HCG18	1558967_s_at
TAS2R7	221396_at
TRBV25-1	234865_at
LRRC37A2	220219_s_at
IGKV1D-8	216517_at
TRBV17	
IGKV3D-7	
TAS2R50	1553561_at
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	
STK19	36019_at
STK19	204090_at
STK19	243719_at
STK19	
TAS2R14	235762_at
TAS2R14	221391_at
TRBV5-7	
IGKV1OR2-118	217480_x_at
TRBV27	
TAS2R9	221461_at
TRBV7-2	
TRBV21-1	216857_at
TRPV5	208267_at
TRPV5	1555042_at
TAS2R45	234042_at
TAS2R31	
TAS2R13	221395_at
RAD17	
RAD17	211228_s_at
RAD17	210826_x_at
RAD17	207405_s_at
IGLV3-31	
TAS2R46	
KSR1P1	
IGLV1-40	
IGKV1OR10-1	217480_x_at
TAS2R20	
PABPC1P8	
TAS2R15P	
OR2AD1P	234371_at
ASH2LP1	
	1561252_at
MAS1L	234820_at
PRR4	205272_s_at
PRR4	
PRR4	204919_at
IGLV3-30	
OR2H2	208573_s_at
OR2H2	217081_at
IGLV1-44	
IGLV3-32	
ATAT1	218874_s_at
ATAT1	228510_at
ATAT1	
ZNF280B	215048_at
ZNF280B	229360_at
ZNF280B	230789_at
ARMC10	223328_at
ARMC10	1554480_a_at
DDR1-DT	216459_x_at
NEU1	208926_at
KCNQ1	211217_s_at
KCNQ1	204487_s_at
IGLVI-38	
HCG17	
IGLV2-34	
IGLV5-37	
TRPM1	206479_at
TRPM1	237069_s_at
IGLV7-43	1558176_at
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
PLEKHM1	212700_x_at
PLEKHM1	212717_at
PLEKHM1	
PLEKHM1	216200_at
IGLV1-36	
ZNF280A	216034_at
KCNQ1-AS1	1562960_at
TLCD2	1557275_a_at
TLCD2	241359_at
IGLV2-33	
	241449_at
NAP1L4	1560339_s_at
NAP1L4	201414_s_at
NAP1L4	244001_at
NAP1L4	
IGLV5-45	
PRAME	204086_at
PRAME	
WDR81	
WDR81	226738_at
RPL23AP95	
DPY19L2P2	
HLA-DQB1-AS1	
TRIM39	
TRIM39	222732_at
MYOM2	205826_at
MYOM2	
NLRP7	
MAPT	203928_x_at
MAPT	225379_at
MAPT	203930_s_at
MAPT	206401_s_at
MAPT	203929_s_at
MAPT	
MAPT	233117_at
SMIM10L1	
TAS2R64P	1570384_at
TAS2R10	221397_at
TAS2R63P	
TRBV12-5	
RPP21	218836_at
RPP21	
TRBJ2-2P	
LY6G5C	219860_at
LY6G5C	
PRSS3P3	216597_at
TRBJ1-6	
TRBJ1-5	
TRBV11-2	
TRBV20-1	
CRHR1	214619_at
CRHR1	211897_s_at
CRHR1	208593_x_at
CRHR1	
TRBV10-2	211608_at
LLCFC1	231435_at
NAPEPLD	242635_s_at
NAPEPLD	242229_at
NAPEPLD	
NAPEPLD	238722_x_at
NAPEPLD	226041_at
NAPEPLD	233539_at
TRBV9	
PRSS3P1	216470_x_at
TRBC1	211796_s_at
TRBC1	213193_x_at
TRBC1	210915_x_at
TRBJ2-1	
	1568828_at
HSPA1A	200799_at
HSPA1A	200800_s_at
LILRB5	206856_at
LILRB5	
OR2P1P	
UBDP1	1567656_at
HLA-F-AS1	222279_at
HLA-F-AS1	1562381_at
HLA-F-AS1	
TRPV6	206827_s_at
TRPV6	
HSPA1L	210189_at
GPSM3	204265_s_at
GPSM3	214847_s_at
IGLV7-35	
SCGB1C2	1552449_a_at
C22orf15	1558333_at
C22orf15	
C22orf15	1558334_a_at
OR2I1P	
TSBP1-AS1	
HLA-B	209140_x_at
HLA-B	211911_x_at
HLA-B	214459_x_at
HLA-B	208812_x_at
LINC02091	244366_at
KRT31	206677_at
RXRB	215099_s_at
RXRB	209148_at
RXRB	215098_at
RPH3AL	221614_s_at
CABIN1	
SMARCB1	
SMARCB1	212167_s_at
AZU1	214575_s_at
TBC1D3P7	
SLC43A2	226629_at
SLC43A2	
KRT33A	208483_x_at
CRYZP1	
MICC	
LSM2	209449_at
LSM2	
KRT37	207649_at
PRTN3	207341_at
KRTAP16-1	
KRT34	206969_at
TRBV6-7	
KRTAP17-1	234680_at
PRSS2	
PRSS2	205402_x_at
PRSS2	216470_x_at
	1557068_at
KRT33B	207787_at
TRBV7-3	234883_x_at
ZBED9	
TRBV18	
CCL4L2	
MOXD2P	
OR12D2	221344_at
PLPPR3	
PRSS1	205869_at
KRT18P1	
PRPF31	
PRRT1	229890_at
PRRT1	231739_at
PRRT1	230054_at
PRRT1	
	206969_at
ATP6V1G3	230565_at
MED16	221418_s_at
MED16	43544_at
MED16	221938_x_at
MED16	221545_x_at
MED16	
CLIC1	208659_at
LENG8	224673_at
LENG8	
TJP1	202011_at
TJP1	214168_s_at
TJP1	
CCL3-AS1	
	1556842_at
TBC1D3I	209403_at
TBC1D3I	
TRBV23-1	
	234377_at
PTPRC	
PTPRC	1552480_s_at
PTPRC	1569830_at
	1562073_at
LY6G6E	221338_at
TRBV5-4	
	211050_x_at
PRSS3P2	215395_x_at
KBTBD11-AS1	
MIF	217871_s_at
KBTBD11	204301_at
OR6V1	
HCG21	
MRPS18B	208907_s_at
MRPS18B	217408_at
MRPS18B	
OR9P1P	
PGBD4P1	
TRBJ1-4	
DOC2B	207311_at
DOC2B	236045_x_at
DOC2B	
MGAM2	216666_at
MGAM2	
HLA-DOB	205671_s_at
HLA-DOB	
LINC03021	
	217871_s_at
ARHGEF10	216620_s_at
ARHGEF10	
ARHGEF10	1554703_at
ARHGEF10	215139_at
ARHGEF10	1554213_at
DERL3	228897_at
DERL3	229721_x_at
DERL3	
ELANE	206871_at
CNOT3	229143_at
LINC02887	234664_at
RILP	227366_at
CFD	205382_s_at
HLA-DRB3	215193_x_at
OR9A2	
TRBV13	
MIR22HG	214696_at
MIR22HG	
TRBV28	
LINC01149	1569779_at
MCCD1P2	
TRBJ2-2	
SLC2A11	232167_at
SLC2A11	221262_s_at
SLC2A11	1558540_s_at
SLC2A11	
EPHB6	204718_at
EPHB6	
CDKN1C	213182_x_at
CDKN1C	219534_x_at
CDKN1C	213348_at
CDKN1C	216894_x_at
	1557679_at
	1554978_at
CCL3L1	205114_s_at
CCL3L3	205114_s_at
	1570271_at
CARS1-AS1	1562436_at
CARS1-AS1	
OR12D3	221431_s_at
	220514_at
COX6CP18	
DDX39BP2	
SLC22A18	204981_at
SLC22A18	
TBC1D3B	209403_at
TSBP1	207523_at
ARL17B	
ARL17B	210718_s_at
ARL17B	229028_s_at
PRPF8	200000_s_at
PRPF8	
GP6	
CCL18	32128_at
CCL18	209924_at
